folio	codigo	descripcion	marca	cantidad	precio	categoria
2860	80134	DISPONIBLE	VERO	1	30.46	PRODUCTOS DE CONFITERIA
2860	370036	PALO 6X17 C/PUNTA 50/500GR GUTIERREZ	GUTIERREZ	1	5.9	Subfamilia de Varios
2860	140159	CLORETS 2 S 32/60 ADAMS	ADAMS	1	32.509	Subfamilia de Varios
2861	90011	BOMBON CHOC.20/50PZ DLR	DLR	1	1.356	PRODUCTOS DE CONFITERIA
2861	50156	RICOS BESOS 20/100PZ MONTES	MONTES	1	19.54	PRODUCTOS DE CONFITERIA
2861	50171	CACHITOS 20/100PZ MONTES	MONTES	1	24.831	PRODUCTOS DE CONFITERIA
2861	80221	PAL.CUADRADA 25/40PZ MONTES	MONTES	1	0.722	PRODUCTOS DE CONFITERIA
2861	20366	ANDINETA MIX BOLSA 20/500GR MONTES	MONTES	1	14.545	PRODUCTOS DE CONFITERIA
2861	80029	PALETON TIRA 50/10PZ BARCEL	BARCEL	1	0.101	PRODUCTOS DE CONFITERIA
2861	380001	OBLEA TIRA 50/10PZ BARCEL	BARCEL	1	4.779	PRODUCTOS DE CONFITERIA
2861	80134	DISPONIBLE	VERO	1	30.46	PRODUCTOS DE CONFITERIA
2861	370036	PALO 6X17 C/PUNTA 50/500GR GUTIERREZ	GUTIERREZ	1	5.9	Subfamilia de Varios
2861	140159	CLORETS 2 S 32/60 ADAMS	ADAMS	1	32.509	Subfamilia de Varios
2862	150314	PRINGLES CREMA Y CEBOLLA 12/40GR PRINGLES	PRINGLES	144	0	BOTANAS
2862	150315	PRINGLES ORIGINAL 12/40GR PRINGLES	PRINGLES	180	17064	BOTANAS
2862	150327	PRINGLES QUESO 12/40GR PRINGLES	PRINGLES	168	15926.4	BOTANAS
2863	150314	PRINGLES CREMA Y CEBOLLA 12/40GR PRINGLES	PRINGLES	144	0	BOTANAS
2863	150315	PRINGLES ORIGINAL 12/40GR PRINGLES	PRINGLES	180	17064	BOTANAS
2863	150327	PRINGLES QUESO 12/40GR PRINGLES	PRINGLES	168	15926.4	BOTANAS
2864	80463	PAL MANITA 16GR 24/40 VERO	VERO	1	21.223	PRODUCTOS DE CONFITERIA
2865	80463	PAL MANITA 16GR 24/40 VERO	VERO	1	21.223	PRODUCTOS DE CONFITERIA
2866	80419	ROCKALETA BOLA 22/25 ALEGRO	ALEGRO	5	40.785	Subfamilia de Varios
2866	50711	PIÑATA SURPRISE 6/2.270 ALEGRO	ALEGRO	3	652.194	Subfamilia de Varios
2866	290141	JUGO 24/230ML CORONA	CORONA	50	782.5	Subfamilia de Varios
2866	140006	CHICLE MINI BU 28/100 DLR	DLR	2	18.904	Subfamilia de Varios
2866	140102	BABY BABU 24/100PZ DLR	DLR	2	23.398	Subfamilia de Varios
2866	40108	SALSA BOTANERA CLASICA 12/1LT PALMEX	PALMEX	5	51.5	Subfamilia de Varios
2866	40106	SALSA BOTANERA CLASICA 12/1.5LT PALMEX	PALMEX	3	45.6	Subfamilia de Varios
2866	40107	SALSA BOTANERA CLASICA 6/4.1LT PALMEX	PALMEX	2	65.4	Subfamilia de Varios
2866	40243	SALSA V.ROJA 12/1LT DLR	DLR	2	14.848	Subfamilia de Varios
2866	40152	SALSA V.ROJA 24/370 DLR	DLR	3	10.788	Subfamilia de Varios
2866	40133	SALSA V.NEGRA 12/1LT DLR	DLR	2	16.364	Subfamilia de Varios
2867	80419	ROCKALETA BOLA 22/25 ALEGRO	ALEGRO	5	40.785	Subfamilia de Varios
2867	50711	PIÑATA SURPRISE 6/2.270 ALEGRO	ALEGRO	3	652.194	Subfamilia de Varios
2867	290141	JUGO 24/230ML CORONA	CORONA	50	782.5	Subfamilia de Varios
2867	140006	CHICLE MINI BU 28/100 DLR	DLR	2	18.904	Subfamilia de Varios
2867	140102	BABY BABU 24/100PZ DLR	DLR	2	23.398	Subfamilia de Varios
2867	40108	SALSA BOTANERA CLASICA 12/1LT PALMEX	PALMEX	5	51.5	Subfamilia de Varios
2867	40106	SALSA BOTANERA CLASICA 12/1.5LT PALMEX	PALMEX	3	45.6	Subfamilia de Varios
